date,beach,persons,rating
20230102,HB Cliffs,James,3
20230103,HB Cliffs,James,1
20230106,HB Cliffs,James,2
20230107,Trails,"Shane,James",2
20230108,HB Cliffs,"Shane,James",3
20230118,HB Cliffs,James,3
20230119,HB Cliffs,,2
20230120,HB Cliffs,,2
20230123,HB Cliffs,"James,Michael",1
20230124,HB Cliffs,James,1
20230125,HB Cliffs,James,3
20230126,HB Cliffs,"Shane,James",3
20230127,HB Cliffs,Terry,2
20230128,HB Cliffs,"James,Michael",2
20230131,HB Cliffs,,2
20230201,HB Cliffs,"James,Terry",3
20230202,HB Cliffs,,2
20230203,HB Cliffs,James,2
20230204,HB Cliffs,Michael,2
20230206,HB Cliffs,Michael,2
20230207,HB Cliffs,James,1
20230208,HB Cliffs,James,1
20230209,HB Cliffs,"Shane,James",2
20230210,HB Cliffs,James,2
20230212,HB Cliffs,James,3
20230213,HB Cliffs,James,1
20230215,HB Cliffs,,3
20230216,HB Cliffs,,3
20230217,HB Cliffs,James,3
20230218,HB Cliffs,James,3
20230219,HB Cliffs,Michael,2
20230221,Ensenada Beaches,,2
20230228,HB Cliffs,,2
20230302,HB Cliffs,James,2
20230307,HB Cliffs,,1
20230308,HB Cliffs,James,2
20230316,HB Cliffs,,2
20230318,HB Cliffs,James,1
20230326,Trails,Shane,2
20230327,HB Cliffs,,2
20230328,HB Cliffs,,2
20230330,HB Cliffs,,3
20230331,HB Cliffs,James,2
20230401,HB Cliffs,Shane,1
20230402,HB Cliffs,Terry,2
20230403,HB Cliffs,"James,Terry",2
20230405,HB Cliffs,Shane,2
20230406,HB Cliffs,,2
20230407,HB Cliffs,,1
20230408,HB Cliffs,,1
20230410,HB Cliffs,Shane,2
20230411,HB Cliffs,"Shane,Terry",2
20230412,HB Cliffs,James,3
20230413,HB Cliffs,"Shane,James",3
20230414,HB Cliffs,,2
20230415,HB Cliffs,Michael,3
20230416,HB Cliffs,"Shane,James,Michael",2
20230426,HB Cliffs,,2
20230427,HB Cliffs,James,2
20230428,HB Cliffs,James,3
20230430,HB Cliffs,"Shane,James",3
20230429,HB Cliffs,James,1
20230501,HB Cliffs,James,2
20230503,HB Cliffs,,2
20230508,HB Cliffs,Shane,2
20230509,HB Cliffs,,2
20230511,HB Cliffs,"Shane,James",3
20230512,HB Cliffs,"Shane,James",3
20230513,HB Cliffs,"James,Michael",3
20230515,HB Cliffs,"Shane,James",3
20230518,HB Cliffs,James,3
20230519,HB Cliffs,Shane,2
20230520,HB Cliffs,"Shane,James,Michael",3
20230523,HB Cliffs,,2
20230524,HB Cliffs,,3
20230525,HB Cliffs,Shane,2
20230526,HB Cliffs,,2
20230529,HB Cliffs,Shane,2
20230527,HB Cliffs,"Shane,James,Michael",2
20230530,HB Cliffs,James,2
20230531,HB Cliffs,,2